src,dst,weight
Ac,Ca,3.468207182604e+00
Ac,Ce,4.273898732754e+00
Ag,He,6.929064948138e+00
Am,Ar,4.267353190331e+00
Am,At,8.339662828723e+00
Am,Ca,3.455810639461e+00
Am,Ce,4.512195111883e+00
Am,Dy,3.662659154877e+00
Am,Er,3.446303524095e+00
Am,He,9.991255854154e+00
Am,Mn,3.411985356770e+00
Am,Ne,4.362582091705e+00
Ar,Bh,4.700873374764e+00
Ar,Bi,9.957116195938e+00
Ar,Bk,4.958669942031e+00
Ar,Cf,4.640376815412e+00
Ar,Cm,4.792983208230e+00
Ar,Db,3.964112740862e+00
Ar,Es,4.321046908207e+00
Ar,Fm,3.690458791129e+00
Ar,H,7.547151580824e+00
Ar,Hs,4.595621855635e+00
Ar,Md,3.764134854518e+00
Ar,Mo,2.460091245856e+01
Ar,Ne,7.798210027872e+00
Ar,No,3.800341377099e+00
Ar,Np,4.862689014737e+00
Ar,Pa,4.617748230878e+00
Ar,Pu,4.738449437233e+00
Ar,Rn,4.423129351324e+00
Ar,Sg,4.806124893893e+00
Ar,U,4.971635757345e+00
At,Ce,8.924148163899e+00
At,Cf,6.885991718863e+00
At,Dy,7.620390579088e+00
At,Er,7.069599577118e+00
At,Es,1.381205421199e+01
At,Eu,6.974924877813e+00
At,Gd,6.457919463740e+00
At,He,4.812296035388e+00
At,Ho,4.653326940454e+00
At,Ir,6.031096096633e+00
At,La,5.095355346416e+00
At,Lu,4.682915710110e+00
At,Mn,7.314166122967e+00
At,Nd,8.008473842911e+00
At,Ni,4.892454722010e+00
At,Os,5.612665498226e+00
At,Pm,8.191800487698e+00
At,Po,5.119722713900e+00
At,Pr,6.552822954083e+00
At,Re,5.362117491358e+00
At,Rh,4.260868572996e+00
At,Rn,4.642761840316e+00
At,Ru,4.781085654983e+00
At,Sm,6.475368996327e+00
At,Ta,4.838809643253e+00
At,Tb,6.544817220510e+00
At,Tc,4.664958065399e+00
At,Tm,7.080625506815e+00
At,Yb,6.501775894678e+00
At,Zr,4.206111158545e+00
Au,Ce,4.075701818435e+00
B,C,3.865181195490e+00
B,Ca,3.759753773108e+00
B,Cl,4.284255252873e+00
B,Cr,7.871968322123e+00
B,F,6.534927302042e+00
B,He,1.210701094262e+01
B,Kr,1.505940919788e+01
B,N,3.760464793285e+00
B,Na,9.151184062985e+00
B,Ne,6.644710965839e+00
B,O,4.728149123351e+00
Ba,Bi,1.830843370966e+01
Ba,Br,4.135463870486e+00
Ba,F,6.270086951158e+00
Ba,Mo,8.361948893259e+00
Be,Cr,3.587234066008e+00
Be,F,4.103176072215e+00
Be,H,3.717746943220e+00
Be,He,4.240086230012e+00
Be,Kr,8.218233687794e+00
Be,Ne,6.108741222670e+00
Bh,Db,1.671066052365e+01
Bh,Fm,1.658127418050e+01
Bh,He,1.377539810238e+01
Bh,Hf,1.612488550038e+01
Bh,Hs,1.700924439247e+01
Bh,Kr,4.609402496308e+00
Bh,Lr,1.596444967151e+01
Bh,Md,1.661610896520e+01
Bh,Ne,6.522341657607e+00
Bh,No,1.663322777368e+01
Bh,Rf,1.639117578402e+01
Bh,Sg,1.710877234874e+01
Bh,W,1.730582706155e+01
Bh,Xe,3.706715112987e+00
Bi,Br,1.324992473764e+01
Bi,F,4.199213662249e+01
Bi,Ge,3.961480176738e+00
Bi,In,3.377500352877e+00
Bi,Mo,6.833031235050e+01
Bi,Tm,1.439352349523e+01
Bi,Y,2.787585293138e+01
Bk,Ca,3.828789875960e+00
Bk,He,1.212513609050e+01
Bk,Kr,4.401080128572e+00
Bk,Ne,5.862990410155e+00
Bk,Xe,3.844180176909e+00
Br,F,3.796285617693e+00
C,Th,5.687658415380e+00
Ca,Cf,3.479113604530e+00
Ca,Cm,3.931819997523e+00
Ca,Co,3.854105653463e+00
Ca,Nb,3.854233107421e+00
Ca,Np,3.716872650143e+00
Ca,Pa,3.714729384144e+00
Ca,Pd,3.896796209701e+00
Ca,Po,3.498660654922e+00
Ca,Pu,3.805126504887e+00
Ca,Tl,3.464083101010e+00
Ca,U,3.819447183152e+00
Cd,He,6.437970908811e+00
Ce,Cf,4.096390186110e+00
Ce,Co,5.799254767384e+00
Ce,Es,4.785071964373e+00
Ce,Nb,5.752921628657e+00
Ce,Np,3.379473105824e+00
Ce,Pd,5.837877557395e+00
Ce,Po,4.730083894337e+00
Ce,Rh,3.778614850797e+00
Ce,Tl,3.742659324018e+00
Cf,He,1.088472807747e+01
Cf,Kr,3.440314477338e+00
Cf,Ne,5.018106827505e+00
Cm,He,1.170797165963e+01
Cm,Kr,4.178413778894e+00
Cm,Ne,5.582375989487e+00
Cm,Xe,3.672972673114e+00
Co,Dy,4.628133610573e+00
Co,Er,4.365469652793e+00
Co,Eu,3.375511371256e+00
Co,Gd,4.073432474294e+00
Co,Nd,4.439623477997e+00
Co,Tb,3.915788027230e+00
Co,Tm,3.428746322297e+00
Cr,Fe,8.188306349218e+00
Cr,Th,1.346207942953e+01
Db,Fm,1.633176289833e+01
Db,He,1.233164636119e+01
Db,Hf,1.632708133628e+01
Db,Hs,1.667119202102e+01
Db,Kr,3.953861136942e+00
Db,Lr,1.584255080813e+01
Db,Md,1.635939085018e+01
Db,Ne,5.346823228745e+00
Db,No,1.637296801508e+01
Db,Rf,1.618099321825e+01
Db,Sg,1.675012902629e+01
Db,W,1.750366028123e+01
Dy,Es,3.739428550724e+00
Dy,Nb,4.611927139853e+00
Dy,Pd,4.681638110635e+00
Dy,Po,3.791384839840e+00
Er,Es,3.403340225594e+00
Er,Nb,4.364166806183e+00
Er,Pd,4.427457923282e+00
Er,Po,3.548382330831e+00
Es,He,1.005986473546e+01
Es,Mn,3.578162141696e+00
Es,Nd,3.652914277761e+00
Es,Ne,4.339308955583e+00
Eu,Pd,3.423684866431e+00
F,Mo,5.243162085178e+01
F,Tm,6.870742760179e+00
F,Y,1.358036123965e+01
Fe,I,4.228988211747e+00
Fe,Nb,3.903207020904e+00
Fe,Sc,4.156473454889e+00
Fe,Th,3.668006374653e+01
Fe,Ti,9.381566871483e+00
Fe,V,8.748874780083e+00
Fm,He,1.179539571447e+01
Fm,Hf,1.640218264676e+01
Fm,Hs,1.654562971162e+01
Fm,Kr,3.710374346322e+00
Fm,Lr,1.579727408745e+01
Fm,Md,1.626403840746e+01
Fm,Ne,4.910202098029e+00
Fm,No,1.627630010475e+01
Fm,Rf,1.610292540811e+01
Fm,Sg,1.661691864938e+01
Fm,W,1.757714119139e+01
Gd,Nb,4.083543745716e+00
Gd,Pd,4.126992930316e+00
H,He,1.661332681089e+01
H,Kr,7.194489809581e+00
H,Na,4.385214430038e+00
H,Ne,1.145390202967e+01
H,Xe,6.108925076877e+00
He,Hs,1.356914785364e+01
He,Lr,9.238923881333e+00
He,Md,1.193977088859e+01
He,Ne,1.247142707324e+01
He,No,1.201072097416e+01
He,Np,1.170602723812e+01
He,Pa,1.136174582117e+01
He,Pu,1.155670262228e+01
He,Ra,4.029675907265e+00
He,Rf,1.100751976428e+01
He,Rn,9.753291354037e+00
He,Sg,1.398164835112e+01
He,U,1.229646311319e+01
Hf,Hs,1.615377061979e+01
