src,dst,weight
Ac,Be,9.125803292062e+00
Ac,He,1.783419676381e+01
Ac,Na,9.497966301622e+00
Ac,Ne,1.074467918984e+01
Ac,O,9.595959227008e+00
Am,He,1.408373006742e+01
Ar,Bi,1.031576452283e+01
Ar,Co,1.112994515498e+01
Ar,Mo,2.840794962880e+01
Ar,Nb,1.110533756483e+01
Ar,Pd,1.115367992109e+01
At,Es,1.337111056495e+01
At,He,8.792387709306e+00
Ba,Bi,1.812439624472e+01
Ba,F,1.067849935982e+01
Be,Bk,8.271110338532e+00
Be,Ce,9.232288843571e+00
Be,Cm,8.493065178448e+00
Be,Co,1.381815495274e+01
Be,Cs,8.380834461533e+00
Be,Ho,8.454116360535e+00
Be,Nb,1.384304484205e+01
Be,Nd,8.948692804246e+00
Be,Pa,8.433637112463e+00
Be,Pd,1.382945563650e+01
Be,Pm,8.764867765780e+00
Be,Pr,9.660314401285e+00
Be,Pu,8.326929269701e+00
Be,Sm,8.665689555830e+00
Be,Tb,8.970325457960e+00
Be,U,8.318058729045e+00
Bh,Db,1.601209952403e+01
Bh,Fm,1.593373642645e+01
Bh,He,1.200271065712e+01
Bh,Hf,1.632608566584e+01
Bh,Hs,1.619293744151e+01
Bh,Lr,1.556015542860e+01
Bh,Md,1.595483418349e+01
Bh,No,1.596520222409e+01
Bh,Rf,1.581860295232e+01
Bh,Sg,1.625321674733e+01
Bh,W,1.748059993275e+01
Bi,Br,1.332472660227e+01
Bi,F,4.243721895441e+01
Bi,Mo,6.816882938167e+01
Bi,Tm,1.423037561894e+01
Bi,Y,2.766501839460e+01
Bk,He,1.545061456510e+01
Bk,Na,8.273357259090e+00
Bk,Ne,8.508303463467e+00
C,Th,8.314857908274e+00
Cf,He,1.392252584823e+01
Cl,Pd,8.161386366678e+00
Cm,He,1.573733744655e+01
Cm,Na,8.442367739029e+00
Cm,Ne,8.789806875563e+00
Co,F,1.276664381211e+01
Co,He,2.520754507491e+01
Co,Kr,1.012220036765e+01
Co,N,1.033581896780e+01
Co,Na,1.403950214525e+01
Co,Ne,1.629172996761e+01
Co,O,1.302777509972e+01
Cr,Th,1.287830564918e+01
Cs,He,1.309371330426e+01
Cs,Na,8.479094018714e+00
Cs,Ne,8.272242057086e+00
Db,Fm,1.563418878656e+01
Db,He,1.353016542988e+01
Db,Hf,1.610014466651e+01
Db,Hs,1.597273382221e+01
Db,Lr,1.514625091250e+01
Db,Md,1.566174477783e+01
Db,No,1.567528657926e+01
Db,Rf,1.548381180561e+01
Db,Sg,1.605146522585e+01
Db,W,1.734895424861e+01
Es,He,1.280146717342e+01
F,Mo,5.682673499718e+01
F,Nb,1.268817567758e+01
F,Pd,1.278432689154e+01
F,Pr,8.674544505765e+00
F,Tm,1.170148920805e+01
F,Y,2.018826164369e+01
Fe,Th,3.581544030973e+01
Fe,Ti,8.618962950490e+00
Fm,He,1.409750577406e+01
Fm,Hf,1.601622372390e+01
Fm,Hs,1.589094390647e+01
Fm,Lr,1.499251494938e+01
Fm,Md,1.555288299859e+01
Fm,No,1.556760362546e+01
Fm,Rf,1.535946080825e+01
Fm,Sg,1.597652894644e+01
Fm,W,1.730005728021e+01
Fr,He,1.201608167873e+01
He,Ho,1.354928230695e+01
He,Hs,1.222091848180e+01
He,La,9.390830376290e+00
He,Lr,1.680219176097e+01
He,Md,1.394476029678e+01
He,Nb,2.539883938203e+01
He,No,1.386969680509e+01
He,Np,1.479952239727e+01
He,Pa,1.574370044052e+01
He,Pd,2.512776750843e+01
He,Pm,1.153283290106e+01
He,Pr,1.245567962869e+01
He,Pu,1.547132890279e+01
He,Ra,1.372373990092e+01
He,Rb,1.039390802902e+01
He,Rf,1.493105966433e+01
He,Rh,1.140787363202e+01
He,Sg,1.178450283244e+01
He,Sm,8.379981077939e+00
He,Ta,8.713401913016e+00
He,Th,9.067504775340e+00
He,U,1.563493000484e+01
He,Zr,1.193202433742e+01
Hf,Hs,1.629380838022e+01
Hf,Lr,1.561614676865e+01
Hf,Md,1.603881782383e+01
Hf,No,1.604992121008e+01
Hf,Rf,1.589292449283e+01
Hf,Sg,1.635836295146e+01
Hf,W,1.615778489433e+01
Ho,Ne,9.149059223707e+00
Hs,Lr,1.550102621201e+01
Hs,Md,1.591296426840e+01
Hs,No,1.592378570340e+01
Hs,Rf,1.577077564565e+01
Hs,Sg,1.622439510140e+01
Hs,W,1.746179340644e+01
K,Y,1.552035702341e+02
Kr,Nb,1.015838031519e+01
Kr,Pd,1.010476505075e+01
Lr,Md,1.503390540099e+01
Lr,Na,8.703717619242e+00
Lr,Ne,8.858266910877e+00
Lr,No,1.505424585150e+01
Lr,Rf,1.476664134203e+01
Lr,Sg,1.561928464518e+01
Lr,W,1.706695038664e+01
Md,No,1.559659518994e+01
Md,Rf,1.539293992292e+01
Md,Sg,1.599670409859e+01
Md,W,1.731322184862e+01
Mo,Tm,1.374002608837e+01
Mo,Y,2.079259584203e+01
N,Nb,1.030944862232e+01
N,Pd,1.037087853061e+01
Na,Nb,1.408868490730e+01
Na,Pa,8.390099958308e+00
Na,Pd,1.402490913559e+01
Na,Pu,8.190153791410e+00
Na,U,8.400534864154e+00
Nb,Ne,1.642510336281e+01
Nb,O,1.298523868749e+01
Ne,Pa,8.730204837492e+00
Ne,Pd,1.625465038306e+01
Ne,Pr,9.693362272636e+00
Ne,Pu,8.569802466850e+00
Ne,Th,9.841381248141e+00
Ne,U,8.619957945716e+00
Ne,Zr,8.229372368093e+00
No,Rf,1.540939251642e+01
No,Sg,1.600661874479e+01
No,W,1.731969129367e+01
O,Pd,1.304517193835e+01
Rf,Sg,1.586643025900e+01
Rf,W,1.722821634972e+01
Sg,W,1.749940645906e+01
Th,Ti,1.192550821579e+01
Th,V,1.084366904529e+01
