src,dst,weight
Ac,At,2.033399710799e+00
Am,At,9.397311132543e+00
Am,Es,2.972663872324e+00
Am,Ir,1.955820785472e+00
Am,Pm,2.353817040058e+00
Am,Yb,2.037065765861e+00
Ar,Bi,8.898035247376e+00
Ar,F,4.695151519451e+00
Ar,Mo,2.644853795386e+01
As,At,3.982614872886e+00
At,Au,5.137030150615e+00
At,Ce,6.025312123188e+00
At,Cf,7.876779563449e+00
At,Co,5.500072596340e+00
At,Dy,5.641832555953e+00
At,Er,5.346243863190e+00
At,Es,1.478406496516e+01
At,Eu,5.619519300565e+00
At,F,2.741309237677e+00
At,Fr,4.167819987201e+00
At,Gd,5.269457822536e+00
At,Ho,5.615648710405e+00
At,Ir,7.028705469928e+00
At,La,5.537455857309e+00
At,Lu,5.865883742752e+00
At,Mn,5.586289050918e+00
At,Nb,5.271482334228e+00
At,Nd,6.360246211277e+00
At,Ni,5.518734284906e+00
At,Os,6.405488747738e+00
At,Pd,5.534611631539e+00
At,Pm,9.351371236344e+00
At,Po,7.209670836953e+00
At,Pr,6.649687728369e+00
At,Pt,3.192009203383e+00
At,Re,5.698011788373e+00
At,Rh,5.867041197287e+00
At,Rn,4.802210301355e+00
At,Ru,5.342112679040e+00
At,Sb,2.422130777728e+00
At,Sm,6.162900257431e+00
At,Ta,5.513964426185e+00
At,Tb,5.610717572783e+00
At,Tc,5.290336711688e+00
At,Tl,2.364750526626e+00
At,Tm,5.428297823372e+00
At,Yb,6.929145362704e+00
At,Zr,5.127165166114e+00
Ba,Bi,1.797352334102e+01
Ba,Br,4.003182259713e+00
Ba,F,6.544510908440e+00
Ba,Mo,8.245501907027e+00
Ba,Tm,2.746634662656e+00
Ba,Y,2.623908105484e+00
Bh,Db,1.691421442565e+01
Bh,Fm,1.691421442565e+01
Bh,Hf,1.691421442565e+01
Bh,Hs,1.691421442565e+01
Bh,Lr,1.691421442565e+01
Bh,Md,1.691421442565e+01
Bh,No,1.691421442565e+01
Bh,Rf,1.691421442565e+01
Bh,Sg,1.691421442565e+01
Bh,W,1.691421442565e+01
Bi,Br,1.304926433405e+01
Bi,F,4.131161511645e+01
Bi,Ge,1.964593564697e+00
Bi,In,4.129345578248e+00
Bi,Mo,6.764158631900e+01
Bi,Tm,1.280475736886e+01
Bi,Y,2.821922802989e+01
Br,F,3.253937725504e+00
Br,Mo,2.952607246622e+00
C,Cr,2.696387398975e+00
C,Fe,5.427822520994e+00
C,He,1.959000337705e+00
C,Th,7.127687642134e+00
C,Ti,2.514255610164e+00
C,V,2.886961368237e+00
Ce,Es,2.010670740367e+00
Cf,Es,2.419826135577e+00
Cr,Fe,1.256096415842e+01
Cr,He,3.073795630948e+00
Cr,Ne,1.976341521849e+00
Cr,Sc,2.588688384150e+00
Cr,Th,1.703212920187e+01
Cr,Ti,5.053858332932e+00
Cr,V,4.702181930219e+00
Cu,Th,2.189609580378e+00
Db,Fm,1.691421442565e+01
Db,Hf,1.691421442565e+01
Db,Hs,1.691421442565e+01
Db,Lr,1.691421442565e+01
Db,Md,1.691421442565e+01
Db,No,1.691421442565e+01
Db,Rf,1.691421442565e+01
Db,Sg,1.691421442565e+01
Db,W,1.691421442565e+01
Es,Ir,2.277864328747e+00
Es,Nd,2.136016451513e+00
Es,Os,2.044294243138e+00
Es,Pm,3.013498610559e+00
Es,Po,2.182759317020e+00
Es,Pr,2.229720291119e+00
Es,Sm,2.012155161111e+00
Es,Yb,2.262646505075e+00
F,Mo,5.283023485105e+01
